category,term,speaker,party,critical,context,score,label
Leitkultur,Leitkultur,unbekannt,unbekannt,False,"brauchen  internationalen kulturellen Austausch und Einflüsse. Es  gibt keine feststehende deutsche Leitkultur. Kultur entwickelt  sich fortlaufend weiter, sie spiegelt gesellschaftliche  Entwicklungen wider und hinterfragt sie. Kunst darf auch  provozieren.",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,"sen wir auch gute  Deutsche bleiben dürfen.   (Beifall AfD)   Ja, die AfD ist gegen unkontrollierte Massenmigration in  unsere Sozialsysteme. Wir verneinen, dass es eine moralische  Verpflichtung gibt, Migration gut zu finden.   (Beifall AfD  Zurufe SPD und DIE LI",0.9998,NON_HATE
Leitkultur,Leitkultur,unbekannt,unbekannt,False,"Bestände kann also, unter diesem Aspekt  betrachtet, einen Beitrag zur Etablierung einer deutschen  Leitkultur und in deren Wirkung eine Stärkung der  deutschen Identität leisten, und das müsste auch in Ihrem  Interesse sein. Oder irre ich mich?   (Beifall AfD",0.9998,NON_HATE
Leitkultur,Leitkultur,Gernot Grumbach,SPD,False,". Grobe, der zweite Punkt ist relativ schlicht. Die  Variante mit der Digitalisierung der deutschen Leitkultur  hat eine Nebenidee, die Sie nicht ausgesprochen haben.  Das bedeutet nämlich deutsche Zensur. Denn Sie werden  dies bei einer international aufgeste",0.9998,NON_HATE
Leitkultur,Leitkultur,Janine Wissler,LINKE,False,"men. Ich glaube, das soll  jetzt hier nicht das Thema sein.  Deswegen ein Letztes. Die AfD hat über Leitkultur gesprochen,  dazu will ich mich gar nicht weiter auslassen. Sie haben  uns alle als regenbogenaffine Fraktionen angesprochen.  Das finde ich jetzt ni",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,"fD)   Der Wohlfahrtsstaat, der Ihnen vorschwebt, geht einfach  nicht zusammen mit der ungesteuerten Massenmigration,  die Sie zugleich befürworten.   (Zurufe: Ah!  Minister Tarek Al-Wazir: Da ist es ja  wieder!)   Die Bevölkerung Deutschlands ist in den letzten vi",0.9998,NON_HATE
Invasion/Flut,Invasion,unbekannt,unbekannt,False,"(Beifall CDU und BÜNDNIS 90/DIE GRÜNEN)   die in der Tat eine richtige Angst vor einer russischen Invasion  haben. Sie haben die Orientierung in Richtung NATO  und Europäische Union, weil sie glauben, dies sei die einzige  Chance, ihren Frieden zu sichern.",0.9998,NON_HATE
Bedrohungsrhetorik,Volksaustausch,Lukas Schauder,GRÜNE,True,"ikerinnen und Politiker als Volksverräter  diffamieren, und von Leuten, die über einen sogenannten  Volksaustausch fabulieren.   Wenig später gab es einen rassistischen Mordversuch an einem  jungen Eritreer in Wächtersbach. Der Täter war wieder  angeheizt von Dema",0.9998,NON_HATE
Invasion/Flut,Invasion,unbekannt,unbekannt,False,"ge im Stich gelassen, sondern sich auch gegenüber  der Türkei erpressbar gemacht. Ein Tag nach der  Invasion hat Erdogan damit gedroht, die Grenzen zur EU",0.9998,NON_HATE
Invasion/Flut,Invasion,Taylan Burcu,GRÜNE,False,"genen Wochen in Nordsyrien als das  bezeichnen, was sie sind, nämlich als eine völkerrechtswidrige  Invasion.   (Beifall BÜNDNIS 90/DIE GRÜNEN, CDU, vereinzelt  SPD, DIE LINKE und Robert Lambrou  (AfD))   Wenn ein Despot  um von den innenpolitischen Schwier",0.9998,NON_HATE
Leitkultur,Leitkultur,unbekannt,unbekannt,False,"cher Grobe mehrfach  deutlich gemacht. Kultur solle einen Beitrag zur Etablierung  einer deutschen Leitkultur  und eine Stärkung der  deutschen Identität leisten.  Das, meine Damen und Herren,  hat mit Kultur nichts zu tun. Das ist Unkultur.   (Beifall DIE",0.9998,NON_HATE
Invasion/Flut,Ansturm,unbekannt,unbekannt,False,"ze sowie 200 neue Referendariatsstellen.   Die Kapazitäten sind da, die Studenten sind da, und der  Ansturm auf die Lehramtsstudiengänge ist ungebrochen  hoch.   (Beifall CDU und BÜNDNIS 90/DIE GRÜNEN)   Dementsprechend haben wir im Rahmen des neuen Hochsch",0.9998,NON_HATE
Islamisierung,Islamisierung,unbekannt,unbekannt,False,"Wahlperiode · 28. Sitzung · 12. Dezember 2019   (Beifall AfD)   Erdogans Mission ist und bleibt die Islamisierung Deutschlands  und Europas, und das auch durch gezielte Beeinflussung  und Indoktrination der Menschen von Kindesbeinen  an.   Ihnen liegen seit 2017",0.9998,NON_HATE
Asylmissbrauch,Wirtschaftsflüchtling,unbekannt,unbekannt,False,"onen  Menschen, durchaus politisch Verfolgten sowie  Kriegsflüchtlingen, aber zum größten Teil eben Wirtschaftsflüchtlingen.   (Beifall AfD)   Das Land, die Kommunen und die Städte sahen sich unvermittelt  riesigen Herausforderungen gegenüber. Um die bis  heute existiere",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Elisabeth Kula,LINKE,False,"Neunzigerjahren mit  ihren Eltern als Asylsuchende nach Deutschland. Sie  schrieb auf Twitter, dass Parallelgesellschaften, die Linnemann  in seinem Tweet beklagt hat, wegen fehlender Kontakte  zur deutschen Bevölkerung, nicht aufgrund fehlender  Sprachkenntnisse entstünd",0.9998,NON_HATE
